"site_code","reach_code","year_month","day","replicate","note_invertebrate_sample","observer","subsample_fraction","length","count","taxon","note_invertebrate_observation"
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,3,1,"Caloparyphus","larva"
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,2,2,"Ceratopogonidae","pupa"
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,1,3,"Chironomidae","larva"
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,2,17,"Chironomidae","pupa"
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,3,39,"Chironomidae","pupa"
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,4,16,"Chironomidae","larva"
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,5,2,"Chironomidae","larva"
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,7,1,"Chironomidae","larva"
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,4,2,"Cryptolabis","larva"
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,5,1,"Cryptolabis","larva"
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,6,3,"Cryptolabis","larva"
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,7,2,"Cryptolabis","larva"
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,8,1,"Cryptolabis","larva"
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,2,1,"Liodessus","larva"
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,4,1,"Microtendipes","larva"
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,1,2,"Oligochaeta",""
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,2,19,"Oligochaeta",""
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,3,4,"Oligochaeta",""
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,4,1,"Pentaneurini","larva"
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,6,1,"Pentaneurini","larva"
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,2,1,"Probezzia","larva"
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,4,1,"Probezzia","larva"
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,5,14,"Probezzia","larva"
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,6,1,"Probezzia","larva"
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,2,5,"Simulium","larva"
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,3,5,"Simulium","larva"
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,4,1,"Simulium","larva"
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,5,7,"Simulium","larva"
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,1,2,"Tanytarsini","Ref, larva"
"BMW","G","2010-04",NA,2,NA,"MaTs",NA,2,7,"Tanytarsini","Ref, larva"
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,2,2,"Baetis","larva"
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,2,3,"Cardiocladius","Ref, larva"
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,3,3,"Cardiocladius","Ref, larva"
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,4,1,"Cardiocladius","Ref, larva"
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,1,2,"Chironomidae","larva"
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,2,34,"Chironomidae","pupa"
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,3,13,"Chironomidae","pupa"
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,4,2,"Chironomidae","larva"
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,1,2,"Cricotopus","larva"
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,2,1,"Cricotopus","larva"
